VG	ID
-60	8.27E-05
-59	8.22E-05
-58	8.17E-05
-57	8.13E-05
-56	8.09E-05
-55	8.05E-05
-54	8.01E-05
-53	7.98E-05
-52	7.93E-05
-51	7.90E-05
-50	7.85E-05
-49	7.81E-05
-48	7.77E-05
-47	7.74E-05
-46	7.69E-05
-45	7.65E-05
-44	7.61E-05
-43	7.57E-05
-42	7.53E-05
-41	7.49E-05
-40	7.44E-05
-39	7.40E-05
-38	7.36E-05
-37	7.31E-05
-36	7.27E-05
-35	7.22E-05
-34	7.18E-05
-33	7.14E-05
-32	7.09E-05
-31	7.05E-05
-30	7.00E-05
-29	6.95E-05
-28	6.91E-05
-27	6.85E-05
-26	6.80E-05
-25	6.75E-05
-24	6.70E-05
-23	6.66E-05
-22	6.60E-05
-21	6.55E-05
-20	6.50E-05
-19	6.45E-05
-18	6.40E-05
-17	6.34E-05
-16	6.28E-05
-15	6.23E-05
-14	6.17E-05
-13	6.12E-05
-12	6.06E-05
-11	6.00E-05
-10	5.95E-05
-9	5.89E-05
-8	5.84E-05
-7	5.79E-05
-6	5.73E-05
-5	5.68E-05
-4	5.63E-05
-3	5.57E-05
-2	5.52E-05
-1	5.47E-05
0	5.43E-05
1	5.38E-05
2	5.32E-05
3	5.28E-05
4	5.23E-05
5	5.18E-05
6	5.13E-05
7	5.09E-05
8	5.04E-05
9	4.99E-05
10	4.95E-05
11	4.90E-05
12	4.85E-05
13	4.81E-05
14	4.76E-05
15	4.72E-05
16	4.67E-05
17	4.62E-05
18	4.58E-05
19	4.54E-05
20	4.50E-05
21	4.46E-05
22	4.42E-05
23	4.38E-05
24	4.34E-05
25	4.30E-05
26	4.26E-05
27	4.22E-05
28	4.18E-05
29	4.15E-05
30	4.11E-05
31	4.06E-05
32	4.02E-05
33	3.98E-05
34	3.94E-05
35	3.90E-05
36	3.87E-05
37	3.82E-05
38	3.79E-05
39	3.75E-05
40	3.71E-05
41	3.67E-05
42	3.63E-05
43	3.59E-05
44	3.55E-05
45	3.51E-05
46	3.47E-05
47	3.43E-05
48	3.39E-05
49	3.35E-05
50	3.31E-05
51	3.27E-05
52	3.23E-05
53	3.19E-05
54	3.14E-05
55	3.10E-05
56	3.06E-05
57	3.02E-05
58	2.97E-05
59	2.92E-05
60	2.88E-05
-80	8.87E-05
-79	8.81E-05
-78	8.76E-05
-77	8.72E-05
-76	8.68E-05
-75	8.65E-05
-74	8.61E-05
-73	8.57E-05
-72	8.54E-05
-71	8.50E-05
-70	8.47E-05
-69	8.44E-05
-68	8.40E-05
-67	8.36E-05
-66	8.33E-05
-65	8.30E-05
-64	8.26E-05
-63	8.22E-05
-62	8.18E-05
-61	8.15E-05
-60	8.12E-05
-59	8.07E-05
-58	8.03E-05
-57	8.00E-05
-56	7.97E-05
-55	7.92E-05
-54	7.88E-05
-53	7.85E-05
-52	7.81E-05
-51	7.77E-05
-50	7.73E-05
-49	7.69E-05
-48	7.65E-05
-47	7.61E-05
-46	7.57E-05
-45	7.53E-05
-44	7.49E-05
-43	7.45E-05
-42	7.41E-05
-41	7.37E-05
-40	7.33E-05
-39	7.28E-05
-38	7.25E-05
-37	7.20E-05
-36	7.15E-05
-35	7.10E-05
-34	7.06E-05
-33	7.01E-05
-32	6.97E-05
-31	6.92E-05
-30	6.88E-05
-29	6.83E-05
-28	6.78E-05
-27	6.73E-05
-26	6.68E-05
-25	6.63E-05
-24	6.58E-05
-23	6.53E-05
-22	6.48E-05
-21	6.42E-05
-20	6.37E-05
-19	6.32E-05
-18	6.26E-05
-17	6.21E-05
-16	6.16E-05
-15	6.10E-05
